_Version,_#,_localtime,_mjd,_sol,_ID1,_ID2,_amag,_ra_o,_dc_o,_ra_t,_dc_t,_elng,_elat,_vo,_vi,_vg,_vs,_a,_q,_e,_p,_peri,_node,_incl,_stream,_dr,_dv%,_mag,_Qo,_dur,_av,_Voa,_Pra,_Pdc,_GPlng,_GPlat,_ra1,_dc1,_az1,_ev1,_lng1,_lat1,_H1,_LD1,_Qr1,_Qd1,_ra2,_dc2,_lng2,_lat2,_H2,_LD2,_Qr2,_Qd2,_LD21,_az1r,_ev1r,_evro,_evrt,_Nts,_Nos,_leap,_rstar,_ddeg,_cdeg,_drop,_inout,_tme,_dt,_GD,_Qc,_dGP,_Gm%,_dv12%,_zmv,_Ed,_Ex,_QA,_Y_ut,_M_ut,_D_ut,_h_ut,_m_ut,_s_ut,_No,_Qp
513,458,_20160715_020139,57584.084482,112.800880,_(UNIFIED_2),_,-0.313532,299.980804,48.381443,300.052826,50.246128,327.749634,67.748276,38.740723,38.740723,36.984291,41.928856,-71.095924,0.939503,1.013215,0.000000,211.832397,112.800735,58.145798,_J8_OCY,2.911392,6.131245,0.150000,17.295794,1.068000,0.000000,0.000000,0.000000,0.000000,50.142948,-13.721887,0.000000,0.000000,0.000000,0.000000,314.859352,-20.662664,111.551346,0.000000,0.000000,0.000000,0.000000,0.000000,314.762737,-21.006777,98.384743,0.000000,0.000000,0.000000,42.186897,14.820068,18.289532,0.000000,15.602391,30,30,1.785714,74,0.028620,0.018530,-1,3,1.000000,0.174999,0.000000,23.904785,0.000000,90.558235,1.387390,1.865276,0.000000,0.000000,0.791563,2016,7,15,2,1,39.230003,2,0
513,459,_20160715_032903,57584.145175,112.858757,_(UNIFIED_2),_,-0.180435,299.553162,-12.376565,298.497589,-11.999998,298.171997,8.693816,27.263489,27.263489,24.880737,36.718697,2.232925,0.486077,0.782314,3.337996,280.880554,112.857063,7.926662,_spo,-1.000000,-1.000000,0.100000,8.794095,1.034142,0.000000,0.000000,0.000000,0.000000,41.256729,11.657754,0.000000,0.000000,0.000000,0.000000,315.657230,-20.401217,96.617310,0.000000,0.000000,0.000000,0.000000,0.000000,315.665489,-20.435715,68.741501,0.000000,0.000000,0.000000,28.194321,349.271545,81.792664,0.000000,80.996742,25,25,1.562500,43,0.068760,0.013235,-1,3,1.000000,0.139996,0.000000,43.243824,0.193173,79.020599,0.036456,1.098346,0.000000,0.000000,0.928609,2016,7,15,3,29,3.130004,2,0
513,460,_20160715_054505,57584.239647,112.948845,_(UNIFIED_2),_,0.059490,20.490704,48.776051,20.993313,49.700893,40.511696,37.415642,57.094864,57.094864,55.782547,38.634521,3.507273,0.875932,0.750253,6.570965,132.650284,112.948936,110.909019,_spo,-1.000000,-1.000000,0.700000,6.041491,0.434000,0.000000,0.000000,0.000000,0.000000,56.049706,-26.329466,0.000000,0.000000,0.000000,0.000000,315.759972,-19.847282,109.193237,0.000000,0.000000,0.000000,0.000000,0.000000,315.647766,-20.044378,104.541679,0.000000,0.000000,0.000000,25.629789,28.328728,10.392143,0.000000,8.484571,9,9,0.000000,29,0.071600,0.009535,-1,3,1.000000,0.135002,0.000000,11.921666,0.000000,64.305504,2.427360,0.981331,0.000000,0.000000,0.430418,2016,7,15,5,45,5.539995,2,0
513,461,_20160715_055258,57584.245122,112.954063,_(UNIFIED_2),_,0.470618,302.208771,-16.035688,300.132874,-15.559908,299.037140,4.891620,29.194084,29.194084,27.223343,37.892750,2.864423,0.443890,0.845033,4.849873,283.289642,112.951370,5.022902,_spo,-1.000000,-1.000000,0.600000,5.194041,0.400000,0.000000,0.000000,0.000000,0.000000,323.091553,68.525887,0.000000,0.000000,0.000000,0.000000,314.737686,-21.266718,97.531876,0.000000,0.000000,0.000000,0.000000,0.000000,314.799576,-21.269779,87.432838,0.000000,0.000000,0.000000,12.024416,273.424530,57.361168,0.000000,55.464111,10,10,6.250000,62,0.029445,0.009730,-1,3,1.000000,0.179998,0.000000,76.238335,0.000001,77.562866,2.099849,2.053354,0.000000,0.000000,0.947306,2016,7,15,5,52,58.580006,2,0
513,462,_20160715_062550,57584.267943,112.975830,_(UNIFIED_2),_,-0.061572,22.179144,23.940582,22.244776,24.493073,29.727854,14.084785,58.240612,58.240612,56.912792,29.738693,1.030132,0.808221,0.215421,1.045958,81.038857,112.976265,151.517227,_spo,-1.000000,-1.000000,-0.150000,7.739324,0.267000,0.000000,0.000000,0.000000,0.000000,62.098663,-37.527115,0.000000,0.000000,0.000000,0.000000,314.817307,-21.144600,81.284996,0.000000,0.000000,0.000000,0.000000,0.000000,314.737213,-21.231142,73.243439,0.000000,0.000000,0.000000,15.163062,41.003914,31.881958,0.000000,30.961357,8,8,0.000000,59,0.028250,0.012980,-1,3,1.000000,0.040002,0.000000,11.933140,0.000000,96.058083,1.760604,0.555723,0.000000,0.000000,0.750564,2016,7,15,6,25,50.279995,2,0
513,463,_20160715_062934,57584.270542,112.978310,_(UNIFIED_2),_,-0.855827,22.141466,-29.329210,22.123194,-29.490934,7.416094,-35.595047,57.849678,57.849678,56.530975,38.234325,3.126939,0.887135,0.716293,5.531639,45.956978,292.978210,114.495262,_spo,-1.000000,-1.000000,-0.400000,4.093771,0.167000,0.000000,0.000000,0.000000,0.000000,183.728668,-59.910938,0.000000,0.000000,0.000000,0.000000,314.836014,-20.854607,110.975891,0.000000,0.000000,0.000000,0.000000,0.000000,314.785900,-20.835491,102.464607,0.000000,0.000000,0.000000,10.252522,111.718285,55.983406,0.000000,55.991001,6,6,0.000000,57,0.029405,0.008645,-1,3,1.000000,0.029999,0.000000,71.080727,0.000001,94.229454,4.330272,0.162506,0.000000,0.000000,0.955046,2016,7,15,6,29,34.830002,2,0
513,464,_20160715_074939,57584.326150,113.031334,_(UNIFIED_2),_,-1.396781,313.256012,27.995441,311.425812,28.687422,324.594421,44.591866,40.986885,40.986885,39.752571,39.684166,5.195759,0.611509,0.882306,11.848086,261.366913,113.031212,62.589005,_spo,-1.000000,-1.000000,-0.800000,17.304228,0.948483,0.000000,0.000000,0.000000,0.000000,24.288797,44.753208,0.000000,0.000000,0.000000,0.000000,315.755920,-20.262779,106.533127,0.000000,0.000000,0.000000,0.000000,0.000000,316.016876,-20.477625,93.831436,0.000000,0.000000,0.000000,38.875370,311.385162,19.354738,0.000000,17.733320,27,27,0.000000,32,0.071930,0.017535,-1,3,1.000000,0.100004,0.000000,71.961113,0.031957,92.976860,1.258551,1.753133,0.000000,0.000000,0.970122,2016,7,15,7,49,39.319996,2,0
513,466,_20160715_082645,57584.351918,113.055908,_(UNIFIED_2),_,0.511982,32.201973,-30.931711,31.892422,-31.077406,16.097168,-40.812428,59.982788,59.982788,58.824345,41.597382,58.232536,0.998569,0.982852,444.552704,15.301954,293.055817,111.186874,_spo,-1.000000,-1.000000,1.050000,2.690092,0.136514,0.000000,0.000000,0.000000,0.000000,202.315002,-46.559467,0.000000,0.000000,0.000000,0.000000,315.565033,-20.498751,106.091797,0.000000,0.000000,0.000000,0.000000,0.000000,315.546539,-20.484467,98.316093,0.000000,0.000000,0.000000,8.188508,128.231812,71.912170,0.000000,71.941269,8,8,0.000000,43,0.069085,0.019645,-1,3,1.000000,0.050000,0.000000,33.149738,0.288613,99.921135,1.753918,0.302694,0.000000,0.000000,0.582339,2016,7,15,8,26,45.680000,2,0
513,467,_20160715_213210,57584.897348,113.576042,_(UNIFIED_2),_,-1.236985,277.556610,-15.202543,282.061829,-15.643663,281.705017,7.304748,21.017380,21.017380,17.365011,37.019581,2.364537,0.749269,0.683122,3.637425,249.362930,113.572433,3.847478,_spo,-1.000000,-1.000000,-1.100000,9.193606,0.968000,0.000000,0.000000,0.000000,0.000000,208.755356,-74.541527,0.000000,0.000000,0.000000,0.000000,324.912884,-6.950741,88.964958,0.000000,0.000000,0.000000,0.000000,0.000000,324.765270,-6.914611,77.037209,0.000000,0.000000,0.000000,20.776367,103.697174,34.884552,0.000000,30.575958,23,21,6.458333,2,0.252780,0.014590,-1,2,1.000000,0.415000,0.000000,42.719154,0.000000,62.376785,1.499877,4.365231,0.000000,0.000000,0.696521,2016,7,15,21,32,10.840000,2,0
513,468,_20160716_000939,57585.006707,113.680328,_(UNIFIED_2),_,-0.394699,313.714325,-19.484043,315.543640,-19.992226,312.196594,-2.975381,29.009991,29.009991,26.399996,32.702835,1.311999,0.287334,0.780995,1.503401,129.475189,293.684052,3.747288,_spo,-1.000000,-1.000000,0.300000,4.288578,0.334000,0.000000,0.000000,0.000000,0.000000,216.384796,-69.317146,0.000000,0.000000,0.000000,0.000000,324.446583,-6.676049,83.679916,0.000000,0.000000,0.000000,0.000000,0.000000,324.382069,-6.653201,77.823944,0.000000,0.000000,0.000000,9.643693,109.357376,37.210739,0.000000,36.258068,16,14,13.095238,5,0.180735,0.016290,-1,3,1.000000,0.009998,0.000000,32.920860,0.000000,77.805649,0.333095,1.795247,0.000000,0.000000,0.616302,2016,7,16,0,9,39.470001,2,0
